time,S,E,I,R,beta,r0,rt,sim,real_seed
0.0,14999.0,0.0,1.0,0.0,0.3142857142857143,2.2,2.1998533333333334,1,1
0.20615455095511953,14998.0,1.0,1.0,0.0,0.3142857142857143,2.2,2.199706666666667,1,1
7.93361161447824,14997.0,2.0,1.0,0.0,0.3142857142857143,2.2,2.19956,1,1
9.817522209627864,14997.0,1.0,2.0,0.0,0.3142857142857143,2.2,2.19956,1,1
9.95212684696195,14997.0,0.0,3.0,0.0,0.3142857142857143,2.2,2.19956,1,1
10.369987044008038,14996.0,1.0,3.0,0.0,0.3142857142857143,2.2,2.1994133333333337,1,1
10.371093931353617,14995.0,2.0,3.0,0.0,0.3142857142857143,2.2,2.1992666666666665,1,1
10.608827904914794,14995.0,2.0,2.0,1.0,0.3142857142857143,2.2,2.1992666666666665,1,1
11.008654234534923,14995.0,2.0,1.0,2.0,0.3142857142857143,2.2,2.1992666666666665,1,1
13.338855046648236,14995.0,1.0,2.0,2.0,0.3142857142857143,2.2,2.1992666666666665,1,1
13.627494926503497,14995.0,1.0,1.0,3.0,0.3142857142857143,2.2,2.1992666666666665,1,1
14.650661663465591,14994.0,2.0,1.0,3.0,0.3142857142857143,2.2,2.19912,1,1
17.213786026040907,14994.0,1.0,2.0,3.0,0.3142857142857143,2.2,2.19912,1,1
18.06191358910587,14993.0,2.0,2.0,3.0,0.3142857142857143,2.2,2.198973333333334,1,1
19.26055442680738,14992.0,3.0,2.0,3.0,0.3142857142857143,2.2,2.1988266666666667,1,1
19.516275605637738,14992.0,2.0,3.0,3.0,0.3142857142857143,2.2,2.1988266666666667,1,1
20.16660013893875,14991.0,3.0,3.0,3.0,0.3142857142857143,2.2,2.1986800000000004,1,1
20.759783157713343,14991.0,2.0,4.0,3.0,0.3142857142857143,2.2,2.1986800000000004,1,1
22.210889417255444,14991.0,2.0,3.0,4.0,0.3142857142857143,2.2,2.1986800000000004,1,1
22.92379198347246,14991.0,1.0,4.0,4.0,0.3142857142857143,2.2,2.1986800000000004,1,1
22.986390177901264,14990.0,2.0,4.0,4.0,0.3142857142857143,2.2,2.1985333333333332,1,1
23.20182575078347,14989.0,3.0,4.0,4.0,0.3142857142857143,2.2,2.198386666666667,1,1
23.866637428812137,14988.0,4.0,4.0,4.0,0.3142857142857143,2.2,2.19824,1,1
24.359904093050776,14988.0,3.0,5.0,4.0,0.3142857142857143,2.2,2.19824,1,1
25.0227593447139,14988.0,2.0,6.0,4.0,0.3142857142857143,2.2,2.19824,1,1
25.4749707609533,14987.0,3.0,6.0,4.0,0.3142857142857143,2.2,2.1980933333333335,1,1
25.533163644328614,14987.0,3.0,5.0,5.0,0.3142857142857143,2.2,2.1980933333333335,1,1
27.067088036386366,14986.0,4.0,5.0,5.0,0.3142857142857143,2.2,2.197946666666667,1,1
27.195543771279855,14985.0,5.0,5.0,5.0,0.3142857142857143,2.2,2.1978,1,1
27.304827361632658,14984.0,6.0,5.0,5.0,0.3142857142857143,2.2,2.1976533333333337,1,1
27.376835708700565,14983.0,7.0,5.0,5.0,0.3142857142857143,2.2,2.197506666666667,1,1
27.407212623959868,14982.0,8.0,5.0,5.0,0.3142857142857143,2.2,2.19736,1,1
27.52598671853411,14981.0,9.0,5.0,5.0,0.3142857142857143,2.2,2.1972133333333335,1,1
27.56462803542165,14981.0,9.0,4.0,6.0,0.3142857142857143,2.2,2.1972133333333335,1,1
27.754092030014053,14980.0,10.0,4.0,6.0,0.3142857142857143,2.2,2.1970666666666667,1,1
